Câu,Đáp án chọn,Kết quả
1,2,Đúng
2,1,Sai
3,2,Sai
4,3,Sai
5,3,Sai
6,2,Sai
7,3,Sai
8,2,Đúng
9,2,Sai
10,1,Sai
101,2,Sai
102,2,Sai
103,3,Đúng
104,1,Đúng
105,1,Đúng
106,2,Sai
107,1,Đúng
108,2,Sai
109,3,Sai
110,1,Đúng
111,2,Sai
112,1,Đúng
113,1,Đúng
114,3,Đúng
115,2,Sai
116,3,Sai
117,3,Sai
118,1,Sai
119,2,Đúng
120,3,Đúng
126,1,Sai
127,3,Sai
128,1,Sai
129,3,Sai
130,1,Sai
131,4,Sai
132,3,Sai
133,3,Sai
134,3,Sai
135,2,Sai
216,2,Sai
217,4,Sai
218,4,Sai
219,1,Sai
220,1,Sai
221,2,Sai
222,1,Sai
223,3,Sai
224,3,Đúng
225,4,Sai
